,Date,Vendors Name,Gst No,Bill no,Nature of Expense Ledger,Description as per Invoice,Net amount ,Cgst ,Sgst,Igst,Round off,Bill amount
,11/12/2024,Accojob Private Limited-CR,06AARCA1873B1ZS,INV-AJ25-2065,Job Posting Hiring Charges,Accio Matrix,30000,,,5400,,35400
,30/4/2024," CFO Bridge Services Private 
Limited",27AAICC2895E1ZH,74/Apr/2024-25,Professional Fees," Professional Fees - Apr 2024
 SAC: 998311",135000,12150,12150,,0,159300
, 26-04-2024, EASEBUZZ PRIVATE LIMITED,27AAVCS2699M1Z5, PB/24-25/0072,Professional Fees, Other Financial Services (997119),69755.5,6277.99,6277.99,,0,82311.48
,2/5/2024, Exotel Techcom Private Limited,29AACCE7697J1ZW, DR24SIN100005832,Telehphone Exp," Recurring charges:User rental charges ,  Call charges","1,914.80",,,344.66,0,"2,259.46"
,21/5/2024,Frux Technologies Private Limited,07AACCF4741L3ZG,FT/24-25/MAY/036,License Fee,"INDEFEND ADVANCED BLEND LICENSE FOR 8""5 Support for One Year  - End Point DLP",156800,,,28224,0,185024
,29/5/2024,Gnr Solutions Private Limited,27AAECG2483J1ZE,GNR/R/24-25/846,Rent For Laptop,Laptop Rental Charges  Batch: Primary Batch  DELL 7480/3400   C17 16GB                    ,37601,3384.09,3384.09,,-0.18,44369
,15/4/2024,Gnr Solutions Private Limited,27AAECG2483J1ZE,GNR/S/24-25/197,Rent For Laptop," Laptop Rental Charges
 Batch :
 Primary Batch
 DELL 7480/3400, CI7, 16GB, 256GB
 REFER ANNEXURE for Serial Number
 NO OPERATING SYSTEM
 Period : 01-03-2024 to 31-03-2024",29100,2619,2619,,,34338
,31/5/2024,Google India Pvt Ltd,06AACCG0527D1Z8,4990220509,Google Workspace  Charges, HSN: 998319 Google Workspace,88.25,,,15.89,,104.14
,30/4/2024, INFIN TECH RENT GURU PVT LTD,08AAGCI2725R1Z1, IT/R/24-25/00218,Rent For Laptop,Macbook Pro M1  Shivprasad Markad  FVFG52SUQ05N  997315,139660,,,25138.8,0.2,164799
,2/4/2024, INFIN TECH RENT GURU PVT LTD,08AAGCI2725R1Z1, ITRPL/24-25/0009,Rent For Laptop," Macbook Pro M1
 Macbook Pro M1 14 Inch 32GB 512 SSD , Serial No -FM2KGRV4WW ",8800,,,1584,,10384
,11/4/2024, INFIN TECH RENT GURU PVT LTD,08AAGCI2725R1Z1,ITRPL/24-25/0038,Rent For Laptop," Macbook Pro M1
 Apple Macbook Pro M1 Chip 16GB RAM 512GB SSD , Serial Number  
: FVFG5FPQQ05D",100,,,18,,118
,11/4/2024, INFIN TECH RENT GURU PVT LTD,08AAGCI2725R1Z1,ITRPL/24-25/0045,Rent For Laptop," Macbook Pro M3
 Apple Macbook Pro M3 Chip 16 GB RAM 512GB SSD 14inch Screen, 
Serial No -810/KW2FVVX67M",6500,,,1170,,7670
,30/4/2024, INFIN TECH RENT GURU PVT LTD,08AAGCI2725R1Z1,ITRPL/24-25/0096,Rent For Laptop," Macbook Pro M3
 Macbook Pro M3 16GB RAM 512GB SSD",8700,,,1566,,10266
,2/5/2024,Key Value Software Systems Private Limited,32AAFCC8807P1ZA,MED03/2024-25,Professional Fees," Software development for the 
period April 01,2024 - April 
30,2024",1022304,,,184015,,1206319
